opisto_id,opisto_brand_name,opisto_model_name,body_type,start,end,ovoko_ model_id
18881,SUBARU,LEGACY 4 PHASE 2,Berline,9/1/2006,12/31/2015,1318
18884,SUBARU,LEGACY 4 PHASE 2 BREAK,Break,9/1/2006,12/31/2015,1318
19021,TOYOTA,DYNA PHASE 1,Chassis,1/1/1986,12/31/2007,1774
18043,NISSAN,CABSTAR NT400,Chassis,1/1/2014,,no category on Ovoko
18455,RENAULT,B110,Fourgon,9/1/1996,6/30/1999,no category on Ovoko
17076,FUSO,CANTER,Chassis,11/1/2010,,no category on Ovoko
17955,MITSUBISHI,CANTER PHASE 3,Chassis,1/1/2017,,no category on Ovoko
18480,RENAULT,D,Chassis,1/1/2016,,no category on Ovoko
16747,DAEWOO,REXTON,SUV,7/1/2002,12/31/2004,3448
16539,CHEVROLET,M100,Berline,7/1/2003,6/30/2005,3452
19019,TOYOTA,CRESSIDA,Berline,1/1/1977,6/30/1990,3484
19020,TOYOTA,CRESSIDA BREAK,Break,1/1/1977,6/30/1990,3484
18453,RENAULT,ALPINE GT COUPE,Coupé,3/1/1985,4/30/1991,no category on Ovoko
17164,HONDA,PRELUDE 2 COUPE,Coupé,7/1/1983,11/30/1987,727
18456,RENAULT,B70,Fourgon,1/1/1983,12/31/1990,213
18457,RENAULT,B80,Fourgon,9/1/1990,6/30/1999,213
18458,RENAULT,B90,Chassis,8/1/1990,1/31/1992,213
19676,FERRARI,LAFERRARI CABRIOLET,Cabriolet,10/1/2016,,3428
20445,FERRARI,LAFERRARI COUPE,Coupé,10/1/2016,,3428
17656,MAZDA,929 1,Berline,1/1/1973,6/30/1984,993
20270,MC LAREN,765LT CABRIOLET,Cabriolet,3/1/2020,,3436
16686,CITROEN,SPACE TOURER CAMPSTER,Minibus,10/1/2016,,3277
19729,HYUNDAI,CRETA,Tout-Terrain,1/1/2016,,3453
19342,VOLKSWAGEN,XL1 COUPE,Coupé,6/1/2014,,3458
17570,LEXUS,LFA COUPE,Coupé,11/1/2010,,3474
19692,ASTON MARTIN,ZAGATO COUPE,Coupé,5/1/2012,,3469
20395,GOUPIL,G3,Fourgon,6/1/2012,,3430
20396,GOUPIL,G3,Chassis,6/1/2012,,3430
19731,GOUPIL,G3,Fourgon,1/1/2016,,3430
19739,GOUPIL,G3,Chassis,1/1/2016,,3430
20394,GOUPIL,G3 BENNE,Benne,6/1/2012,,3430
19738,GOUPIL,G3 BENNE,Benne,1/1/2016,,3430
19749,GOUPIL,G5,Fourgon,1/1/2016,,3432
19750,GOUPIL,G5,Chassis,1/1/2016,,3432
19740,GOUPIL,G5 BENNE,Benne,1/1/2016,,3432
17369,KIA,CADENZA,Berline,1/1/2011,,3449
20398,LIGIER PROFESSIONAL,BE SUN,Chassis,7/1/2011,,3463
19656,MORGAN,ROADSTER CABRIOLET,Cabriolet,11/1/2011,,3477
18588,RENAULT,R30,Berline,1/1/1979,3/31/1994,3505
16009,ALFA ROMEO,1750,Berline,3/1/1968,10/31/1972,3420
16010,ALFA ROMEO,2000 COUPE,Coupé,10/1/1971,7/31/1975,3420
16798,DS,DS3 PHASE 3,Berline,4/1/2016,,3507
16803,DS,DS4 1 PHASE 1,Berline,1/1/2011,3/31/2016,3175
16805,DS,DS5 PHASE 1,Berline,6/1/2011,5/31/2015,3508
16804,DS,DS5 PHASE 2,Berline,6/1/2015,,3508
16264,BMW,16020000000000,Berline,4/1/1971,7/31/1975,no category on Ovoko
16265,BMW,20020000000000,Berline,6/1/1968,4/30/1972,no category on Ovoko
16476,BUICK,U100 BREAK,Break,11/1/2002,,no category on Ovoko
17391,KIA,K 1,Chassis,12/1/1998,,no category on Ovoko
17457,LADA,CHEVROLET PHASE 2,Tout-Terrain,9/1/1994,,no category on Ovoko
20115,LAND ROVER,DEFENDER 5 LIMITED,Tout-Terrain,10/1/2016,,no category on Ovoko
17530,LAND ROVER,LAND ROVER,Tout-Terrain,1/1/1983,6/30/2001,no category on Ovoko
17758,MERCEDES,410D,Chassis,11/1/1988,6/30/1995,no category on Ovoko
19677,MORGAN,FOUR FOUR CABRIOLET,Cabriolet,1/1/2004,,no category on Ovoko
17316,JAGUAR,XJ 2 PHASE 2 CABRIOLET,Cabriolet,4/1/1988,9/30/1991,819
17317,JAGUAR,XJ 2 PHASE 2 COUPE,Coupé,1/1/1987,9/30/1991,819
17314,JAGUAR,XJ 2 PHASE 3 CABRIOLET,Cabriolet,9/1/1991,12/31/1996,818
17318,JAGUAR,XJ 2 PHASE 3 COUPE,Coupé,9/1/1991,12/31/1996,818
17326,JAGUAR,XJ XJ220 PHASE 3 COUPE,Coupé,9/1/1991,12/31/1996,818
16800,DS,DS3 CABRIOLET PHASE 2,Cabriolet,6/1/2014,3/31/2016,3506
16799,DS,DS3 CABRIOLET PHASE 3,Cabriolet,4/1/2016,,3506
16796,DS,DS3 PHASE 1,Berline,11/1/2009,6/30/2014,3506
16797,DS,DS3 PHASE 2,Berline,6/1/2014,4/30/2016,3506
17315,JAGUAR,XJ 2 PHASE 1 CABRIOLET,Cabriolet,3/1/1986,4/30/1988,2305
17319,JAGUAR,XJ 2 PHASE 1 COUPE,Coupé,1/1/1975,12/31/1983,2305
19682,MC LAREN,675LT CABRIOLET,Cabriolet,8/1/2016,,3435
19748,BLUECAR,BLUESUMMER CABRIOLET,Cabriolet,3/1/2015,,no category on Ovoko
19747,BLUECAR,BLUEUTILITY,Berline,1/1/2011,,no category on Ovoko
20401,BLUECAR,GOLIA,Minibus,1/1/2011,,no category on Ovoko
19758,BONETTI,FX100 35E6C BENNE,Benne,12/1/2017,,no category on Ovoko
20399,BRANDT MOTORS,CITELEC,Chassis,11/1/2013,,no category on Ovoko
20430,CECOMP,BLUECAR,Berline,1/1/2011,,no category on Ovoko
16562,CHRYSLER,ES,Berline,9/1/1987,6/30/1991,no category on Ovoko
20131,DR,3,SUV,2/1/2018,,no category on Ovoko
20354,DR,5,SUV,1/1/2020,,no category on Ovoko
20240,DR,F35,SUV,1/1/2020,,no category on Ovoko
19755,DR,ZERO,Berline,4/1/2015,,no category on Ovoko
20402,ESAGONO ENERGIA,GASTONE,Chassis,10/1/2016,,no category on Ovoko
20403,ESAGONO ENERGIA,GASTONE,Fourgon,10/1/2016,,no category on Ovoko
