opisto_id,Opisto category name,Opisto part category links,Ovoko part ID,Part position Position
1,Interieur complet,https://www.opisto.fr/fr/auto/pieces-occasion/Interieur-complet/toutes-marques/page-1,,957,
2,Siege avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Siege-avant-gauche/toutes-marques/page-1,,997,
3,Siege avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Siege-avant-droit/toutes-marques/page-1,,996,
4,Banquette arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Banquette-arriere/toutes-marques/page-1,,994,
5,Compteur,https://www.opisto.fr/fr/auto/pieces-occasion/Compteur/toutes-marques/page-1,,1009,
6,Commodo,https://www.opisto.fr/fr/auto/pieces-occasion/Commodo/toutes-marques/page-1,,1165,
7,Volant,https://www.opisto.fr/fr/auto/pieces-occasion/Volant/toutes-marques/page-1,,1183,
8,Neiman,https://www.opisto.fr/fr/auto/pieces-occasion/Neiman/toutes-marques/page-1,,1184,
9,Planche de bord complete,https://www.opisto.fr/fr/auto/pieces-occasion/Planche-de-bord-complete/toutes-marques/page-1,,816,
10,Autoradio d'origine,https://www.opisto.fr/fr/auto/pieces-occasion/Autoradio-d'origine/toutes-marques/page-1,,1277,
11,Colonne de direction,https://www.opisto.fr/fr/auto/pieces-occasion/Colonne-de-direction/toutes-marques/page-1,,1488,
12,Commande chauffage,https://www.opisto.fr/fr/auto/pieces-occasion/Commande-chauffage/toutes-marques/page-1,,1122,
13,Ceinture avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Ceinture-avant-droit/toutes-marques/page-1,,902,90
14,Ceinture arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Ceinture-arriere-gauche/toutes-marques/page-1,,901,60
15,Avertisseur / Klaxon,https://www.opisto.fr/fr/auto/pieces-occasion/Avertisseur-/-Klaxon/toutes-marques/page-1,,1289,
16,Vitre avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Vitre-avant-gauche/toutes-marques/page-1,,1195,80
17,Vitre avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Vitre-avant-droit/toutes-marques/page-1,,1195,90
18,Vitre arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Vitre-arriere-gauche/toutes-marques/page-1,,1193,60
19,Vitre arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Vitre-arriere-droit/toutes-marques/page-1,,1193,70
21,Toit ouvrant,https://www.opisto.fr/fr/auto/pieces-occasion/Toit-ouvrant/toutes-marques/page-1,,1101,
22,Plage arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Plage-arriere/toutes-marques/page-1,,949,
